ra,dec,total,teff
52.0,68.0,165.0,9365.0
52.0,69.0,130.0,8583.0
52.0,70.0,124.0,9480.333
52.0,71.0,124.0,5732.59
52.0,72.0,140.0,9045.0
52.0,73.0,150.0,5076.0
52.0,74.0,128.0,5678.75
52.0,75.0,87.0,9578.5
52.0,76.0,106.0,6746.0
52.0,77.0,127.0,9084.0
52.0,78.0,121.0,9045.0
52.0,79.0,129.0,5052.0
52.0,80.0,98.0,5339.0
52.0,81.0,90.0,9045.0
52.0,82.0,124.0,9575.0
52.0,83.0,85.0,9654.667
52.0,84.0,60.0,9516.75
52,85,66,0
52.0,86.0,58.0,4482.0
52.0,87.0,63.0,4593.04
52.0,88.0,75.0,9421.0
52.0,89.0,46.0,4425.4805
52.0,90.0,39.0,4976.2354
52.0,91.0,59.0,7998.25
52.0,92.0,38.0,4331.547000000001
52.0,93.0,54.0,4339.6665
52.0,94.0,41.0,4859.6
52.0,95.0,17.0,4116.223
52.0,96.0,36.0,9603.0
52.0,97.0,28.0,9530.5
52.0,98.0,11.0,9365.0
52,99,1,0
53,0,1,0
53.0,1.0,1.0,4054.3452
53,2,1,0
53.0,3.0,3.0,3846.6826
53.0,4.0,1.0,4995.65
53.0,5.0,2.0,5370.0
53,6,1,0
53,7,1,0
53,8,2,0
53,9,0,0
53,10,0,0
53.0,11.0,2.0,5480.29
53.0,12.0,5.0,4940.0
53,13,1,0
53,14,1,0
53.0,15.0,3.0,4876.77
53.0,16.0,2.0,5753.5
53.0,17.0,1.0,4952.3335
53.0,18.0,2.0,3936.52
53,19,2,0
53.0,20.0,33.0,5153.0
53.0,21.0,60.0,4724.1875
53.0,22.0,20.0,4431.75
53.0,23.0,42.0,6547.2695
53,24,32,0
53.0,25.0,172.0,4244.6973
53.0,26.0,58.0,6153.1553
53.0,27.0,1.0,3643.0
53,28,2,0
53.0,29.0,2.0,3861.1433
53.0,30.0,31.0,6764.0
53.0,31.0,124.0,4979.6836
53.0,32.0,48.0,8933.75
53.0,33.0,34.0,4638.0329999999985
53.0,34.0,50.0,4565.94
53.0,35.0,50.0,4940.5
53.0,36.0,47.0,5323.3335
53.0,37.0,47.0,4755.93
53.0,38.0,87.0,6130.0
53.0,39.0,63.0,5140.3774
53.0,40.0,58.0,8725.667
53.0,41.0,77.0,6538.0
53.0,42.0,57.0,8725.667
53.0,43.0,92.0,5179.745
53.0,44.0,57.0,4740.56
53,45,43,0
53.0,46.0,63.0,5174.965
53.0,47.0,88.0,5129.435
53.0,48.0,89.0,4811.0
53.0,49.0,75.0,6070.55
53.0,50.0,97.0,4796.567
53.0,51.0,125.0,9508.667
53.0,52.0,114.0,4914.49
53.0,53.0,106.0,9552.333
53.0,54.0,111.0,9613.0
53.0,55.0,109.0,9438.0
53.0,56.0,114.0,4641.96
53.0,57.0,144.0,5025.3335
53.0,58.0,173.0,9536.667
53.0,59.0,157.0,7841.0
53.0,60.0,143.0,8630.0
53.0,61.0,122.0,8562.5
53.0,62.0,143.0,9536.667
53.0,63.0,148.0,9542.5
53.0,64.0,144.0,9522.75
53.0,65.0,146.0,9515.0
53.0,66.0,153.0,9522.75
53.0,67.0,171.0,9512.0
53.0,68.0,138.0,9575.0
53.0,69.0,163.0,9578.5
53.0,70.0,139.0,9566.0
53.0,71.0,125.0,9307.0
53.0,72.0,155.0,9530.333
53.0,73.0,151.0,8630.0
53.0,74.0,116.0,5325.5
53.0,75.0,75.0,4116.6665
53.0,76.0,93.0,9021.0
53.0,77.0,120.0,6839.096
53.0,78.0,143.0,5190.3335
53.0,79.0,117.0,9421.0
53.0,80.0,96.0,9412.0
53.0,81.0,90.0,5449.1
53.0,82.0,59.0,9530.25
53.0,83.0,74.0,9631.0
53.0,84.0,81.0,4236.45
53.0,85.0,55.0,9531.0
53.0,86.0,69.0,4898.2437
53.0,87.0,57.0,4485.1875
53.0,88.0,66.0,4572.525
53.0,89.0,51.0,6006.3335
53.0,90.0,35.0,4856.0
53.0,91.0,39.0,5128.09
53.0,92.0,41.0,9603.0
53.0,93.0,35.0,4365.525
53.0,94.0,41.0,5601.0
53.0,95.0,38.0,4347.3335
53,96,23,0
53.0,97.0,38.0,9522.75
53.0,98.0,10.0,3999.25
53,99,1,0
54.0,0.0,2.0,3303.5
54.0,1.0,2.0,9566.0
54.0,2.0,2.0,4922.0
54,3,0,0
54,4,1,0
54,5,1,0
54,6,0,0
54,7,2,0
54,8,2,0
54,9,1,0
54.0,10.0,2.0,5758.3335
54,11,1,0
54,12,6,0
54.0,13.0,2.0,3620.5
54,14,2,0
54.0,15.0,3.0,3602.725
54.0,16.0,1.0,5798.84
54,17,2,0
54,18,1,0
54.0,19.0,2.0,3806.435
54.0,20.0,11.0,8868.667
54.0,21.0,32.0,5500.0
54.0,22.0,23.0,5339.6665
54.0,23.0,23.0,4786.7095
54.0,24.0,25.0,3703.0
54.0,25.0,169.0,4963.7170000000015
54.0,26.0,68.0,5077.0
54,27,1,0
54,28,1,0
54.0,29.0,4.0,4988.76
54.0,30.0,29.0,5763.0
54.0,31.0,141.0,4915.025
54.0,32.0,49.0,3970.53
54.0,33.0,44.0,7230.0
54.0,34.0,48.0,4419.0
54.0,35.0,37.0,4396.0
54.0,36.0,42.0,4848.5
54.0,37.0,34.0,3824.0
54.0,38.0,66.0,5369.5
54.0,39.0,57.0,5095.6333
54.0,40.0,76.0,5349.0
54.0,41.0,69.0,5179.635
54.0,42.0,59.0,5000.0
54.0,43.0,48.0,4201.0
54.0,44.0,57.0,5263.4
54.0,45.0,57.0,9566.0
54.0,46.0,81.0,6258.4155
54.0,47.0,66.0,5676.0
54.0,48.0,65.0,9480.333
54.0,49.0,81.0,9412.0
54.0,50.0,106.0,5354.0
54.0,51.0,88.0,9566.0
54.0,52.0,100.0,5952.0
54.0,53.0,118.0,5076.0
54.0,54.0,116.0,9189.0
54.0,55.0,134.0,4878.5
54.0,56.0,124.0,8071.0
54.0,57.0,123.0,5000.0
54.0,58.0,105.0,9522.75
54.0,59.0,139.0,5286.9
54.0,60.0,147.0,9045.0
54.0,61.0,118.0,9561.0
54.0,62.0,139.0,9515.0
54.0,63.0,141.0,9516.75
54.0,64.0,172.0,9516.75
54.0,65.0,144.0,9307.0
54.0,66.0,116.0,9458.5
54.0,67.0,136.0,9591.25
54.0,68.0,134.0,8535.333
54.0,69.0,120.0,9412.0
54.0,70.0,164.0,9549.333
54.0,71.0,129.0,9554.25
54.0,72.0,122.0,8630.0
54.0,73.0,193.0,9531.0
54.0,74.0,116.0,7253.2026
54.0,75.0,97.0,4669.3335
54.0,76.0,111.0,6876.0
54.0,77.0,112.0,4884.25
54.0,78.0,115.0,8982.5
54.0,79.0,111.0,8994.5
54.0,80.0,111.0,4460.0
54.0,81.0,78.0,9146.25
54.0,82.0,67.0,4920.0
54.0,83.0,95.0,8854.333
54.0,84.0,79.0,9508.667
54.0,85.0,50.0,8630.0
54.0,86.0,63.0,5837.15
54.0,87.0,71.0,4871.0
54.0,88.0,68.0,9536.667
54.0,89.0,65.0,4737.0
54.0,90.0,56.0,9451.0
54.0,91.0,34.0,9613.0
54.0,92.0,40.0,5632.0
54.0,93.0,40.0,9572.5
54.0,94.0,37.0,4327.6665
54.0,95.0,23.0,5216.56
54.0,96.0,37.0,9045.0
54.0,97.0,31.0,8582.667
54.0,98.0,7.0,3734.6667
54,99,3,0
55,0,2,0
55.0,1.0,1.0,5686.0
55,2,0,0
55,3,0,0
55,4,0,0
55,5,0,0
55.0,6.0,3.0,5869.0
55,7,2,0
55.0,8.0,1.0,3815.97
55,9,1,0
55.0,10.0,4.0,4991.325
55,11,0,0
55,12,5,0
55.0,13.0,1.0,5031.5
55,14,0,0
55,15,1,0
55,16,0,0
55.0,17.0,2.0,3483.545
55,18,0,0
55,19,2,0
55,20,3,0
55.0,21.0,42.0,5503.0
55.0,22.0,43.0,4342.1567
55.0,23.0,50.0,8026.5
55.0,24.0,36.0,4458.125
55.0,25.0,152.0,4459.28
55.0,26.0,79.0,5793.9
55.0,27.0,2.0,5811.0
55,28,2,0
55.0,29.0,4.0,4871.25
55.0,30.0,25.0,4748.0
55.0,31.0,168.0,4455.83
55.0,32.0,59.0,4406.8735
55.0,33.0,53.0,5143.45
55.0,34.0,59.0,5449.83
55.0,35.0,81.0,5144.0938
55.0,36.0,57.0,5612.1997
55.0,37.0,64.0,4485.0
55.0,38.0,57.0,5044.2
55.0,39.0,66.0,4358.775
55.0,40.0,61.0,5789.85
55.0,41.0,60.0,4382.3335
55.0,42.0,66.0,4468.45
55.0,43.0,75.0,5306.115
55.0,44.0,82.0,4863.5
55.0,45.0,57.0,5158.845
55.0,46.0,83.0,5103.95
55.0,47.0,87.0,5020.0
55.0,48.0,72.0,9575.0
55.0,49.0,90.0,3947.1626
55.0,50.0,93.0,9515.0
55.0,51.0,116.0,4483.0
55.0,52.0,76.0,4478.3335
55.0,53.0,127.0,5952.0
55.0,54.0,105.0,7391.5
55.0,55.0,127.0,9522.75
55.0,56.0,104.0,4922.3335
55.0,57.0,123.0,9084.0
55.0,58.0,124.0,7199.5
55.0,59.0,118.0,6077.0
55.0,60.0,137.0,9551.25
55.0,61.0,165.0,9554.667
55.0,62.0,172.0,9613.0
55.0,63.0,131.0,9567.75
55.0,64.0,141.0,5956.25
55.0,65.0,154.0,9516.75
55.0,66.0,140.0,9515.0
55.0,67.0,99.0,9189.0
55.0,68.0,177.0,8389.333
55.0,69.0,154.0,9578.5
55.0,70.0,134.0,9566.0
55.0,71.0,157.0,8777.333
55.0,72.0,148.0,5600.0
55.0,73.0,189.0,9534.333
55.0,74.0,115.0,4791.9565
55.0,75.0,83.0,5112.1367
55.0,76.0,133.0,9319.0
55.0,77.0,108.0,4725.02
55.0,78.0,114.0,9566.0
55.0,79.0,115.0,8582.667
55.0,80.0,108.0,9515.0
55.0,81.0,81.0,5602.543000000002
55.0,82.0,79.0,4598.21
55.0,83.0,92.0,4429.5
55.0,84.0,73.0,5286.9
55.0,85.0,54.0,9579.5
55.0,86.0,84.0,9134.75
55.0,87.0,73.0,5093.0
55.0,88.0,48.0,9412.0
55.0,89.0,57.0,8868.667
55.0,90.0,70.0,6170.0
55.0,91.0,45.0,9386.5
55.0,92.0,56.0,9575.0
55.0,93.0,41.0,4368.7065
55.0,94.0,38.0,5370.0
55.0,95.0,40.0,9566.0
55.0,96.0,45.0,9516.75
55.0,97.0,39.0,9522.75
55.0,98.0,13.0,4077.765
55,99,1,0
56,0,1,0
56,1,0,0
56,2,0,0
56,3,1,0
56,4,1,0
56,5,1,0
56,6,2,0
56,7,1,0
56.0,8.0,1.0,3799.0
56,9,0,0
56.0,10.0,2.0,4871.5
56,11,0,0
56.0,12.0,3.0,4837.8774
56,13,3,0
56,14,1,0
56,15,1,0
56,16,7,0
56.0,17.0,2.0,5006.63
56.0,18.0,3.0,4943.0
56.0,19.0,2.0,5744.5
56.0,20.0,5.0,5344.055
56.0,21.0,24.0,5143.45
56.0,22.0,51.0,4421.19
56.0,23.0,37.0,4206.4023
56.0,24.0,50.0,4091.2852
56.0,25.0,140.0,4501.46
56.0,26.0,70.0,5058.0
56.0,27.0,4.0,5000.0
56.0,28.0,2.0,4049.1367
56.0,29.0,3.0,4467.5
56.0,30.0,22.0,5628.0
56.0,31.0,127.0,5354.0
56.0,32.0,61.0,5031.7354
56.0,33.0,42.0,4867.79
56.0,34.0,62.0,5808.7275
56.0,35.0,53.0,4994.5
56.0,36.0,61.0,4746.01
56.0,37.0,68.0,4403.0
56.0,38.0,65.0,6447.5
56,39,50,0
56.0,40.0,65.0,7076.0
56.0,41.0,56.0,5095.6333
56.0,42.0,30.0,4712.6265
56.0,43.0,65.0,4358.0
56.0,44.0,53.0,4500.453
56.0,45.0,61.0,5356.0
56.0,46.0,75.0,4408.0329999999985
56.0,47.0,88.0,9054.5
56.0,48.0,89.0,4485.0
56.0,49.0,97.0,9530.333
56.0,50.0,76.0,5086.8
56.0,51.0,83.0,9502.75
56.0,52.0,113.0,5474.0
56.0,53.0,90.0,9574.5
56.0,54.0,108.0,5190.3335
56.0,55.0,108.0,4987.0
56.0,56.0,120.0,4529.35
56.0,57.0,121.0,5076.0
56.0,58.0,156.0,5854.4155
56.0,59.0,126.0,7176.0
56.0,60.0,140.0,9516.75
56.0,61.0,126.0,9566.0
56.0,62.0,149.0,9326.0
56.0,63.0,141.0,9549.333
56.0,64.0,158.0,9136.5
56.0,65.0,134.0,9626.25
56.0,66.0,115.0,8583.0
56.0,67.0,133.0,9476.333
56.0,68.0,160.0,9515.0
56.0,69.0,134.0,9084.0
56.0,70.0,97.0,6199.793000000002
56.0,71.0,136.0,9575.0
56.0,72.0,131.0,6911.72
56.0,73.0,173.0,5171.6333
56.0,74.0,105.0,5010.008
56.0,75.0,116.0,8630.0
56.0,76.0,120.0,9515.0
56.0,77.0,106.0,9589.667
56.0,78.0,121.0,5511.75
56.0,79.0,102.0,9575.0
56.0,80.0,86.0,4465.6665
56.0,81.0,85.0,9515.0
56.0,82.0,112.0,5643.25
56.0,83.0,93.0,9584.5
56.0,84.0,61.0,4526.33
56.0,85.0,68.0,4266.0
56.0,86.0,51.0,6615.8003
56.0,87.0,73.0,4412.0
56,88,47,0
56.0,89.0,45.0,5956.25
56.0,90.0,51.0,4861.0
56.0,91.0,22.0,4297.485
56.0,92.0,41.0,9569.0
56.0,93.0,38.0,4323.3
56.0,94.0,46.0,8868.667
56.0,95.0,45.0,4290.9497
56.0,96.0,22.0,9516.75
56.0,97.0,33.0,8946.333
56.0,98.0,8.0,4817.3774
56,99,4,0
57,0,1,0
57.0,1.0,2.0,5677.0
57,2,1,0
57.0,3.0,4.0,9549.333
57.0,4.0,2.0,6852.0
57,5,1,0
57,6,1,0
57,7,1,0
57,8,1,0
57,9,1,0
57,10,2,0
57,11,0,0
57.0,12.0,9.0,3744.79
57,13,0,0
57.0,14.0,2.0,4854.99
57.0,15.0,2.0,3523.6667
57.0,16.0,3.0,5898.6665
57,17,0,0
57,18,1,0
57,19,1,0
57,20,1,0
57.0,21.0,33.0,4309.0
57.0,22.0,36.0,5962.0
57.0,23.0,52.0,4821.8203
57.0,24.0,43.0,4894.0
57.0,25.0,138.0,5286.9
57.0,26.0,68.0,5120.0
57.0,27.0,3.0,4849.0
57.0,28.0,2.0,5440.033
57.0,29.0,4.0,5096.71
57.0,30.0,45.0,4851.0
57.0,31.0,151.0,4306.375
57.0,32.0,66.0,6279.0
57.0,33.0,45.0,4958.99
57.0,34.0,48.0,8494.333
57.0,35.0,43.0,5686.0
57.0,36.0,53.0,4797.6665
57.0,37.0,59.0,4883.0
57.0,38.0,58.0,4190.4053
57.0,39.0,61.0,4465.25
57.0,40.0,54.0,4364.9565
57.0,41.0,65.0,4529.645
57.0,42.0,50.0,4499.0
57.0,43.0,74.0,5365.0
57.0,44.0,64.0,4510.5576
57.0,45.0,63.0,4297.5
57.0,46.0,54.0,5060.85
57.0,47.0,62.0,4512.6323
57.0,48.0,71.0,5952.5
57.0,49.0,79.0,9084.0
57.0,50.0,88.0,9221.0
57.0,51.0,82.0,9556.0
57.0,52.0,81.0,4964.7026
57.0,53.0,103.0,5038.75
57.0,54.0,116.0,6876.0
57.0,55.0,107.0,8630.0
57.0,56.0,129.0,4541.0
57.0,57.0,134.0,9365.0
57.0,58.0,161.0,9545.667
57.0,59.0,125.0,5952.0
57.0,60.0,162.0,4987.0
57.0,61.0,128.0,9566.0
57.0,62.0,168.0,9566.0
57.0,63.0,149.0,9515.0
57.0,64.0,135.0,9613.0
57.0,65.0,142.0,9532.0
57.0,66.0,128.0,9084.0
57.0,67.0,146.0,9578.5
57.0,68.0,144.0,9412.0
57.0,69.0,151.0,9530.5
57.0,70.0,126.0,8453.0
57.0,71.0,109.0,8868.667
57.0,72.0,108.0,5951.0
57.0,73.0,154.0,5952.0
57.0,74.0,129.0,9269.5
57.0,75.0,120.0,4865.5
57.0,76.0,114.0,5305.82
57.0,77.0,122.0,9610.333
57.0,78.0,93.0,9084.0
57.0,79.0,89.0,5639.54
57.0,80.0,72.0,7215.0
57.0,81.0,80.0,9532.0
57.0,82.0,90.0,9508.667
57.0,83.0,83.0,4885.0
57.0,84.0,73.0,9020.0
57.0,85.0,95.0,4916.0
57.0,86.0,70.0,5361.0
57.0,87.0,65.0,9406.5
57.0,88.0,68.0,5667.525
57.0,89.0,55.0,9578.5
57.0,90.0,51.0,6870.3335
57.0,91.0,54.0,9353.0
57.0,92.0,46.0,9542.5
57.0,93.0,64.0,8562.5
57.0,94.0,36.0,4090.25
57.0,95.0,55.0,4289.315
57.0,96.0,44.0,5629.446999999999
57.0,97.0,36.0,8561.333
57.0,98.0,12.0,9045.0
57,99,2,0
58,0,1,0
58.0,1.0,2.0,6312.6665
58.0,2.0,1.0,4979.0
58.0,3.0,1.0,3786.8167
58,4,1,0
58.0,5.0,2.0,5033.0
58,6,2,0
58,7,1,0
58,8,1,0
58,9,0,0
58,10,1,0
58.0,11.0,2.0,4274.3335
58,12,4,0
58,13,0,0
58,14,3,0
58,15,0,0
58.0,16.0,4.0,5607.4854
58,17,0,0
58,18,4,0
58.0,19.0,3.0,5121.0
58,20,1,0
58.0,21.0,28.0,5071.61
58.0,22.0,41.0,5831.0
58.0,23.0,31.0,4676.55
58.0,24.0,38.0,4371.67
58.0,25.0,131.0,4653.23
58.0,26.0,64.0,4414.0
58.0,27.0,4.0,3858.0
58.0,28.0,4.0,3642.94
58.0,29.0,25.0,4408.0329999999985
58.0,30.0,46.0,4309.75
58.0,31.0,156.0,6600.0
58.0,32.0,84.0,6804.0
58.0,33.0,49.0,5504.0
58.0,34.0,54.0,6293.74
58.0,35.0,63.0,5286.9
58.0,36.0,43.0,4501.5625
58.0,37.0,40.0,4604.952
58.0,38.0,64.0,5747.6777
58.0,39.0,70.0,5171.6333
58.0,40.0,68.0,4720.55
58.0,41.0,61.0,4542.6797
58.0,42.0,77.0,5628.543000000002
58.0,43.0,63.0,9253.5
58.0,44.0,68.0,8850.0
58.0,45.0,85.0,4467.0
58.0,46.0,62.0,5142.57
58.0,47.0,87.0,5194.5
58.0,48.0,101.0,8573.5
58.0,49.0,81.0,9536.667
58.0,50.0,99.0,6941.1797
58.0,51.0,84.0,9566.0
58.0,52.0,114.0,4579.48
58.0,53.0,93.0,4443.427
58.0,54.0,124.0,5095.6333
58.0,55.0,119.0,9164.667
58.0,56.0,113.0,5823.3335
58.0,57.0,139.0,9515.0
58.0,58.0,123.0,6876.0
58.0,59.0,144.0,9571.5
58.0,60.0,129.0,9613.0
58.0,61.0,148.0,9579.5
58.0,62.0,150.0,7841.0
58.0,63.0,134.0,9613.0
58.0,64.0,132.0,9579.5
58.0,65.0,165.0,9515.0
58.0,66.0,155.0,9613.0
58.0,67.0,157.0,8982.5
58.0,68.0,123.0,8779.0
58.0,69.0,146.0,9613.0
58.0,70.0,156.0,9542.5
58.0,71.0,140.0,7094.93
58.0,72.0,143.0,9532.0
58.0,73.0,190.0,5628.0
58.0,74.0,112.0,8868.667
58.0,75.0,111.0,4720.55
58.0,76.0,103.0,4777.0
58.0,77.0,130.0,9266.0
58.0,78.0,89.0,6817.75
58.0,79.0,111.0,9458.5
58.0,80.0,89.0,9146.0
58.0,81.0,63.0,8598.667
58.0,82.0,73.0,9512.0
58.0,83.0,63.0,9084.0
58.0,84.0,71.0,5069.6836
58.0,85.0,62.0,4483.0
58.0,86.0,64.0,8472.667
58.0,87.0,70.0,4376.3
58.0,88.0,54.0,4081.5996
58.0,89.0,53.0,4354.8965
58.0,90.0,47.0,4346.1
58.0,91.0,34.0,4403.5
58.0,92.0,49.0,5593.0
58.0,93.0,39.0,5249.5
58.0,94.0,45.0,4531.275
58.0,95.0,34.0,8943.333
58.0,96.0,47.0,9610.333
58.0,97.0,38.0,8868.667
58.0,98.0,9.0,9045.0
58.0,99.0,2.0,3774.67
59,0,1,0
59,1,0,0
59.0,2.0,4.0,5352.0
59,3,2,0
59.0,4.0,3.0,3885.48
59,5,2,0
59,6,2,0
59,7,2,0
59,8,3,0
59,9,1,0
59.0,10.0,1.0,3621.26
59.0,11.0,1.0,6323.5
59.0,12.0,2.0,8045.6
59.0,13.0,4.0,3753.6667
59.0,14.0,1.0,3711.25
59,15,1,0
59,16,2,0
59,17,2,0
59.0,18.0,1.0,3887.52
59,19,1,0
59,20,1,0
59.0,21.0,27.0,4721.5664
59.0,22.0,44.0,5224.125
59.0,23.0,26.0,4354.5864
59.0,24.0,58.0,4098.0
59.0,25.0,107.0,4862.465
59.0,26.0,70.0,5086.8
59,27,1,0
59.0,28.0,5.0,3727.0
59.0,29.0,60.0,4291.385
59,30,58,0
59.0,31.0,158.0,4309.0
59.0,32.0,78.0,6388.7
59.0,33.0,40.0,4987.0
59.0,34.0,45.0,4931.6733
59.0,35.0,54.0,5769.6934
59.0,36.0,51.0,4467.87
59.0,37.0,43.0,4925.0
59.0,38.0,74.0,5017.3374
59.0,39.0,59.0,4911.2534
59.0,40.0,59.0,6200.0
59.0,41.0,67.0,5076.0
59.0,42.0,58.0,9084.0
59.0,43.0,63.0,4405.4136
59.0,44.0,68.0,4485.0
59.0,45.0,65.0,4546.0
59.0,46.0,65.0,4822.5
59.0,47.0,97.0,9045.0
59.0,48.0,73.0,7043.8604
59.0,49.0,96.0,6911.72
59.0,50.0,92.0,9466.25
59.0,51.0,101.0,4720.55
59.0,52.0,127.0,9578.5
59.0,53.0,98.0,5355.3335
59.0,54.0,76.0,5025.3335
59.0,55.0,119.0,5171.6333
59.0,56.0,124.0,8948.0
59.0,57.0,119.0,5033.02
59.0,58.0,127.0,9545.667
59.0,59.0,117.0,8583.0
59.0,60.0,123.0,6001.6104
59.0,61.0,140.0,9326.0
59.0,62.0,153.0,9603.0
59.0,63.0,135.0,7381.75
59.0,64.0,168.0,9522.75
59.0,65.0,133.0,9566.0
59.0,66.0,166.0,9575.0
59.0,67.0,180.0,8613.75
59.0,68.0,160.0,9537.25
59.0,69.0,132.0,9575.0
59.0,70.0,100.0,5823.3335
59.0,71.0,127.0,9492.75
59.0,72.0,120.0,4994.4575
59.0,73.0,153.0,5799.5
59.0,74.0,103.0,9412.0
59.0,75.0,110.0,4930.53
59.0,76.0,77.0,4424.3574
59.0,77.0,113.0,8292.0
59.0,78.0,96.0,5811.6665
59.0,79.0,94.0,7118.3335
59.0,80.0,79.0,8103.25
59.0,81.0,91.0,4645.24
59.0,82.0,83.0,9571.5
59.0,83.0,60.0,5800.0
59.0,84.0,74.0,9191.0
59.0,85.0,79.0,8066.9873
59.0,86.0,54.0,5972.0
59.0,87.0,43.0,9584.5
59.0,88.0,46.0,4231.0
59.0,89.0,28.0,4219.585
59.0,90.0,47.0,8562.5
59.0,91.0,29.0,4425.3335
59.0,92.0,51.0,5822.25
59.0,93.0,35.0,5307.0
59.0,94.0,47.0,5395.745
59.0,95.0,48.0,4472.0
59.0,96.0,49.0,4978.0
59.0,97.0,43.0,6459.2354
59,98,8,0
59,99,1,0
60,0,1,0
60.0,1.0,2.0,3575.25
60,2,0,0
60.0,3.0,3.0,5206.6
60,4,2,0
60,5,1,0
60,6,2,0
60,7,0,0
60,8,1,0
60.0,9.0,1.0,4121.0
60,10,0,0
60.0,11.0,3.0,3733.12
60.0,12.0,3.0,5796.5073
60,13,0,0
60,14,2,0
60,15,1,0
60,16,2,0
60,17,0,0
60.0,18.0,3.0,4160.02
60.0,19.0,2.0,5398.0
60,20,1,0
60.0,21.0,46.0,5664.0
60.0,22.0,35.0,4389.9233
60.0,23.0,27.0,6216.25
60.0,24.0,33.0,5230.4497
60.0,25.0,76.0,6666.75
60.0,26.0,53.0,4153.9575
60.0,27.0,1.0,3600.9797
60,28,2,0
60.0,29.0,53.0,4108.0
60.0,30.0,81.0,4822.0
60.0,31.0,159.0,9593.0
60.0,32.0,78.0,4409.0
60.0,33.0,43.0,3968.705
60.0,34.0,50.0,5659.81
60.0,35.0,55.0,8951.333
60.0,36.0,52.0,6192.0
60.0,37.0,61.0,4460.0
60.0,38.0,47.0,5213.75
60.0,39.0,54.0,5311.0
60.0,40.0,60.0,4509.0
60.0,41.0,67.0,9531.0
60.0,42.0,67.0,4427.64
60.0,43.0,89.0,4508.42
60.0,44.0,72.0,8103.25
60.0,45.0,75.0,9045.0
60.0,46.0,75.0,8118.75
60.0,47.0,65.0,4242.6934
60.0,48.0,39.0,5734.8667
60.0,49.0,93.0,5000.0
60.0,50.0,83.0,4904.4526
60.0,51.0,79.0,5409.0
60.0,52.0,109.0,4848.5
60.0,53.0,109.0,9584.0
60.0,54.0,104.0,9516.75
60.0,55.0,113.0,7052.0
60.0,56.0,128.0,9522.75
60.0,57.0,109.0,5411.17
60.0,58.0,132.0,9084.0
60.0,59.0,125.0,9508.667
60.0,60.0,157.0,9579.5
60.0,61.0,149.0,9136.5
60.0,62.0,120.0,5630.6665
60.0,63.0,151.0,9508.667
60.0,64.0,149.0,9566.0
60.0,65.0,119.0,9189.0
60.0,66.0,115.0,9575.0
60.0,67.0,162.0,8613.75
60.0,68.0,141.0,9522.75
60.0,69.0,128.0,9522.75
60.0,70.0,117.0,9571.5
60.0,71.0,108.0,8946.333
60.0,72.0,125.0,4117.7803
60.0,73.0,150.0,6600.0
60.0,74.0,130.0,7176.0
60.0,75.0,130.0,8389.333
60.0,76.0,83.0,5956.25
60.0,77.0,90.0,4324.0664
60.0,78.0,79.0,9566.0
60.0,79.0,65.0,9581.667
60.0,80.0,83.0,4898.0
60.0,81.0,77.0,4964.7026
60.0,82.0,75.0,9575.0
60.0,83.0,74.0,4524.143
60.0,84.0,38.0,3692.9502
60.0,85.0,39.0,4146.63
60.0,86.0,59.0,4060.0
60.0,87.0,61.0,9515.0
60.0,88.0,58.0,9458.5
60.0,89.0,51.0,5737.3335
60.0,90.0,37.0,3746.0
60.0,91.0,64.0,4377.3677
60.0,92.0,29.0,9566.0
60.0,93.0,43.0,4201.0
60.0,94.0,46.0,5027.3
60.0,95.0,41.0,9558.5
60.0,96.0,36.0,9566.0
60.0,97.0,40.0,9438.0
60,98,11,0
60,99,1,0
61,0,0,0
61,1,0,0
61.0,2.0,2.0,5724.5
61.0,3.0,2.0,4870.3335
61,4,4,0
61.0,5.0,3.0,5858.5
61,6,0,0
61,7,0,0
61.0,8.0,1.0,4570.105
61,9,0,0
61.0,10.0,5.0,6139.2646
61.0,11.0,1.0,4424.3574
61,12,1,0
61,13,1,0
61.0,14.0,7.0,5438.263000000001
61.0,15.0,2.0,4149.8135
61.0,16.0,1.0,3874.75
61,17,0,0
61,18,0,0
61,19,1,0
61.0,20.0,3.0,5749.75
61.0,21.0,30.0,3893.0
61.0,22.0,42.0,4402.12
61.0,23.0,46.0,4182.27
61.0,24.0,46.0,5740.5493
61,25,78,0
61.0,26.0,50.0,5426.3867
61.0,27.0,3.0,5340.0
61,28,1,0
61.0,29.0,64.0,3937.3333
61.0,30.0,84.0,5811.25
61.0,31.0,154.0,4955.857
61.0,32.0,85.0,5043.973
61.0,33.0,66.0,5512.0
61.0,34.0,48.0,4297.065
61.0,35.0,42.0,8582.667
61.0,36.0,56.0,4358.96
61.0,37.0,72.0,4738.5
61.0,38.0,52.0,4475.0
61.0,39.0,66.0,9512.0
61.0,40.0,58.0,4497.0
61.0,41.0,74.0,5831.9775
61.0,42.0,65.0,9451.0
61.0,43.0,69.0,4963.25
61.0,44.0,81.0,8562.5
61.0,45.0,75.0,4485.1875
61.0,46.0,71.0,9492.75
61.0,47.0,58.0,7934.0
61.0,48.0,91.0,9579.5
61.0,49.0,76.0,4398.39
61.0,50.0,90.0,5099.05
61.0,51.0,87.0,5601.0
61.0,52.0,105.0,8583.0
61.0,53.0,139.0,8561.333
61.0,54.0,110.0,5069.94
61.0,55.0,138.0,5952.0
