ra,dec,total,score,avg
13,24,0,0,0
13.0,25.0,2.0,2.0,1.0
13.0,26.0,1.0,100.0,100.0
13.0,27.0,5.0,5.0,1.0
13,28,0,0,0
13,29,0,0,0
13.0,30.0,3.0,3.0,1.0
13.0,31.0,1.0,1.0,1.0
13.0,32.0,2.0,101.0,50.5
13.0,33.0,2.0,2.0,1.0
13.0,34.0,3.0,201.0,67.0
13.0,35.0,3.0,3.0,1.0
13.0,36.0,2.0,2.0,1.0
13.0,37.0,4.0,4.0,1.0
13.0,38.0,5.0,203.0,40.6
13.0,39.0,1.0,100.0,100.0
13.0,40.0,7.0,106.0,15.142857142857142
13.0,41.0,4.0,301.0,75.25
13.0,42.0,3.0,201.0,67.0
13.0,43.0,2.0,101.0,50.5
13.0,44.0,4.0,103.0,25.75
13.0,45.0,5.0,203.0,40.6
13.0,46.0,4.0,4.0,1.0
13.0,47.0,3.0,102.0,34.0
13.0,48.0,2.0,101.0,50.5
13.0,49.0,2.0,101.0,50.5
13.0,50.0,7.0,205.0,29.285714285714285
13.0,51.0,7.0,205.0,29.285714285714285
13.0,52.0,4.0,301.0,75.25
13.0,53.0,4.0,4.0,1.0
13.0,54.0,6.0,204.0,34.0
13.0,55.0,3.0,102.0,34.0
13.0,56.0,7.0,106.0,15.142857142857142
13.0,57.0,5.0,311.0,62.2
13.0,58.0,7.0,205.0,29.285714285714285
13.0,59.0,7.0,205.0,29.285714285714285
13.0,60.0,4.0,202.0,50.5
13.0,61.0,2.0,101.0,50.5
13.0,62.0,6.0,105.0,17.5
13.0,63.0,2.0,101.0,50.5
13.0,64.0,10.0,505.0,50.5
13.0,65.0,4.0,202.0,50.5
13.0,66.0,6.0,105.0,17.5
13.0,67.0,4.0,202.0,50.5
13.0,68.0,5.0,302.0,60.4
13.0,69.0,15.0,510.0,34.0
13.0,70.0,10.0,208.0,20.8
13.0,71.0,10.0,604.0,60.4
13.0,72.0,6.0,303.0,50.5
13.0,73.0,3.0,102.0,34.0
13.0,74.0,6.0,402.0,67.0
13.0,75.0,7.0,205.0,29.285714285714285
13.0,76.0,9.0,108.0,12.0
13.0,77.0,15.0,411.0,27.4
13.0,78.0,3.0,3.0,1.0
13.0,79.0,6.0,105.0,17.5
13.0,80.0,5.0,302.0,60.4
13.0,81.0,3.0,201.0,67.0
13.0,82.0,4.0,202.0,50.5
13.0,83.0,7.0,205.0,29.285714285714285
13.0,84.0,8.0,206.0,25.75
13,85,0,0,0
13.0,86.0,7.0,403.0,57.57142857142857
13.0,87.0,1.0,100.0,100.0
13,88,0,0,0
13.0,89.0,4.0,202.0,50.5
13.0,90.0,4.0,301.0,75.25
13.0,91.0,8.0,305.0,38.125
13.0,92.0,5.0,203.0,40.6
13.0,93.0,3.0,3.0,1.0
13.0,94.0,4.0,400.0,100.0
13.0,95.0,2.0,200.0,100.0
13.0,96.0,1.0,100.0,100.0
13.0,97.0,3.0,3.0,1.0
13.0,98.0,1.0,1.0,1.0
13.0,99.0,3.0,300.0,100.0
14,0,0,0,0
14,1,0,0,0
14,2,0,0,0
14,3,0,0,0
14,4,0,0,0
14,5,0,0,0
14.0,6.0,1.0,1.0,1.0
14,7,0,0,0
14,8,0,0,0
14.0,9.0,2.0,101.0,50.5
14.0,10.0,1.0,1.0,1.0
14.0,11.0,3.0,201.0,67.0
14.0,12.0,2.0,2.0,1.0
14,13,0,0,0
14.0,14.0,1.0,1.0,1.0
14.0,15.0,3.0,3.0,1.0
14.0,16.0,2.0,2.0,1.0
14.0,17.0,1.0,100.0,100.0
14.0,18.0,2.0,2.0,1.0
14.0,19.0,2.0,101.0,50.5
14.0,20.0,3.0,3.0,1.0
14.0,21.0,2.0,101.0,50.5
14.0,22.0,2.0,101.0,50.5
14.0,23.0,1.0,1.0,1.0
14.0,24.0,1.0,1.0,1.0
14.0,25.0,1.0,1.0,1.0
14.0,26.0,3.0,201.0,67.0
14.0,27.0,2.0,2.0,1.0
14,28,0,0,0
14.0,29.0,1.0,1.0,1.0
14.0,30.0,4.0,202.0,50.5
14.0,31.0,3.0,102.0,34.0
14.0,32.0,2.0,2.0,1.0
14.0,33.0,4.0,202.0,50.5
14.0,34.0,1.0,1.0,1.0
14,35,0,0,0
14.0,36.0,7.0,403.0,57.57142857142857
14.0,37.0,1.0,100.0,100.0
14.0,38.0,7.0,205.0,29.285714285714285
14.0,39.0,2.0,2.0,1.0
14.0,40.0,3.0,3.0,1.0
14.0,41.0,2.0,101.0,50.5
14.0,42.0,3.0,201.0,67.0
14.0,43.0,5.0,104.0,20.8
14.0,44.0,1.0,1.0,1.0
14.0,45.0,3.0,102.0,34.0
14.0,46.0,3.0,3.0,1.0
14.0,47.0,1.0,100.0,100.0
14.0,48.0,1.0,100.0,100.0
14.0,49.0,5.0,104.0,20.8
14.0,50.0,3.0,201.0,67.0
14.0,51.0,8.0,305.0,38.125
14.0,52.0,6.0,6.0,1.0
14.0,53.0,5.0,302.0,60.4
14.0,54.0,3.0,3.0,1.0
14.0,55.0,3.0,201.0,67.0
14.0,56.0,11.0,407.0,37.0
14.0,57.0,6.0,303.0,50.5
14.0,58.0,7.0,304.0,43.42857142857143
14.0,59.0,8.0,503.0,62.875
14.0,60.0,7.0,205.0,29.285714285714285
14.0,61.0,8.0,503.0,62.875
14.0,62.0,4.0,4.0,1.0
14.0,63.0,7.0,304.0,43.42857142857143
14.0,64.0,8.0,305.0,38.125
14.0,65.0,12.0,507.0,42.25
14.0,66.0,6.0,204.0,34.0
14.0,67.0,9.0,108.0,12.0
14.0,68.0,7.0,304.0,43.42857142857143
14.0,69.0,10.0,307.0,30.7
14.0,70.0,8.0,305.0,38.125
14.0,71.0,10.0,208.0,20.8
14.0,72.0,6.0,204.0,34.0
14.0,73.0,11.0,308.0,28.0
14.0,74.0,8.0,107.0,13.375
14.0,75.0,6.0,204.0,34.0
14.0,76.0,12.0,408.0,34.0
14.0,77.0,4.0,202.0,50.5
14.0,78.0,5.0,5.0,1.0
14.0,79.0,3.0,3.0,1.0
14.0,80.0,7.0,205.0,29.285714285714285
14.0,81.0,7.0,205.0,29.285714285714285
14.0,82.0,5.0,302.0,60.4
14.0,83.0,1.0,1.0,1.0
14.0,84.0,4.0,103.0,25.75
14.0,85.0,2.0,2.0,1.0
14.0,86.0,4.0,301.0,75.25
14.0,87.0,4.0,202.0,50.5
14.0,88.0,3.0,3.0,1.0
14.0,89.0,2.0,11.0,5.5
14.0,90.0,2.0,2.0,1.0
14.0,91.0,3.0,3.0,1.0
14.0,92.0,4.0,103.0,25.75
14.0,93.0,2.0,2.0,1.0
14.0,94.0,4.0,103.0,25.75
14.0,95.0,4.0,103.0,25.75
14.0,96.0,6.0,501.0,83.5
14.0,97.0,2.0,101.0,50.5
14.0,98.0,1.0,1.0,1.0
14.0,99.0,5.0,203.0,40.6
15.0,0.0,2.0,2.0,1.0
15,1,0,0,0
15.0,2.0,1.0,1.0,1.0
15.0,3.0,1.0,1.0,1.0
15.0,4.0,2.0,2.0,1.0
15.0,5.0,3.0,102.0,34.0
15.0,6.0,1.0,100.0,100.0
15,7,0,0,0
15.0,8.0,1.0,1.0,1.0
15.0,9.0,1.0,100.0,100.0
15.0,10.0,1.0,1.0,1.0
