ra,dec,total,score,avg
41.0,32.0,42.0,141.0,3.357142857142857
41.0,33.0,45.0,45.0,1.0
41.0,34.0,50.0,248.0,4.96
41.0,35.0,47.0,443.0,9.425531914893616
41.0,36.0,40.0,238.0,5.95
41.0,37.0,39.0,39.0,1.0
41.0,38.0,53.0,152.0,2.8679245283018866
41.0,39.0,59.0,158.0,2.6779661016949152
41.0,40.0,66.0,165.0,2.5
41.0,41.0,49.0,346.0,7.061224489795919
41.0,42.0,73.0,271.0,3.712328767123288
41.0,43.0,70.0,268.0,3.8285714285714287
41.0,44.0,61.0,61.0,1.0
41.0,45.0,59.0,59.0,1.0
41.0,46.0,77.0,275.0,3.5714285714285716
41.0,47.0,70.0,268.0,3.8285714285714287
41.0,48.0,83.0,182.0,2.1927710843373496
41.0,49.0,75.0,471.0,6.28
41.0,50.0,70.0,70.0,1.0
41.0,51.0,98.0,197.0,2.010204081632653
41.0,52.0,136.0,136.0,1.0
41.0,53.0,78.0,375.0,4.8076923076923075
41.0,54.0,83.0,380.0,4.578313253012048
41.0,55.0,113.0,212.0,1.8761061946902655
41.0,56.0,85.0,184.0,2.164705882352941
41.0,57.0,111.0,210.0,1.8918918918918919
41.0,58.0,91.0,289.0,3.1758241758241756
41.0,59.0,137.0,632.0,4.613138686131387
41.0,60.0,111.0,606.0,5.45945945945946
41.0,61.0,128.0,326.0,2.546875
41.0,62.0,157.0,355.0,2.261146496815287
41.0,63.0,140.0,536.0,3.8285714285714287
41.0,64.0,152.0,548.0,3.6052631578947367
41.0,65.0,123.0,321.0,2.6097560975609757
41.0,66.0,151.0,1042.0,6.900662251655629
41.0,67.0,194.0,887.0,4.572164948453608
41.0,68.0,135.0,630.0,4.666666666666667
41.0,69.0,147.0,246.0,1.6734693877551021
41.0,70.0,113.0,311.0,2.752212389380531
41.0,71.0,127.0,721.0,5.677165354330708
41.0,72.0,123.0,222.0,1.8048780487804879
41.0,73.0,216.0,315.0,1.4583333333333333
41.0,74.0,137.0,434.0,3.167883211678832
41.0,75.0,96.0,294.0,3.0625
41.0,76.0,111.0,408.0,3.675675675675676
41.0,77.0,128.0,326.0,2.546875
41.0,78.0,90.0,288.0,3.2
41.0,79.0,107.0,107.0,1.0
41.0,80.0,103.0,202.0,1.9611650485436893
41.0,81.0,101.0,497.0,4.920792079207921
41.0,82.0,84.0,282.0,3.357142857142857
41.0,83.0,90.0,189.0,2.1
41.0,84.0,68.0,266.0,3.911764705882353
41.0,85.0,57.0,156.0,2.736842105263158
41.0,86.0,57.0,156.0,2.736842105263158
41.0,87.0,77.0,275.0,3.5714285714285716
41.0,88.0,61.0,259.0,4.245901639344262
41.0,89.0,95.0,293.0,3.0842105263157893
41.0,90.0,54.0,153.0,2.8333333333333335
41.0,91.0,51.0,51.0,1.0
41.0,92.0,62.0,161.0,2.596774193548387
41.0,93.0,125.0,224.0,1.792
41.0,94.0,56.0,155.0,2.767857142857143
41.0,95.0,37.0,235.0,6.351351351351352
41.0,96.0,38.0,38.0,1.0
41.0,97.0,40.0,40.0,1.0
41.0,98.0,9.0,306.0,34.0
41.0,99.0,1.0,1.0,1.0
42,0,0,0,0
42,1,0,0,0
42.0,2.0,1.0,1.0,1.0
42,3,0,0,0
42.0,4.0,3.0,102.0,34.0
42.0,5.0,2.0,2.0,1.0
42.0,6.0,1.0,1.0,1.0
42.0,7.0,1.0,100.0,100.0
42.0,8.0,1.0,100.0,100.0
42,9,0,0,0
42.0,10.0,2.0,200.0,100.0
42,11,0,0,0
42.0,12.0,3.0,102.0,34.0
42.0,13.0,1.0,100.0,100.0
42.0,14.0,1.0,1.0,1.0
42.0,15.0,2.0,101.0,50.5
42.0,16.0,2.0,101.0,50.5
42.0,17.0,1.0,100.0,100.0
42.0,18.0,2.0,2.0,1.0
42.0,19.0,5.0,5.0,1.0
42.0,20.0,37.0,37.0,1.0
42.0,21.0,52.0,52.0,1.0
42.0,22.0,41.0,140.0,3.4146341463414633
42.0,23.0,39.0,138.0,3.5384615384615383
42.0,24.0,41.0,140.0,3.4146341463414633
42.0,25.0,78.0,78.0,1.0
42.0,26.0,90.0,90.0,1.0
42.0,27.0,176.0,374.0,2.125
42.0,28.0,228.0,525.0,2.3026315789473686
42.0,29.0,144.0,144.0,1.0
42.0,30.0,67.0,166.0,2.4776119402985075
42.0,31.0,73.0,172.0,2.356164383561644
42.0,32.0,47.0,245.0,5.212765957446808
42.0,33.0,49.0,49.0,1.0
42.0,34.0,60.0,159.0,2.65
42.0,35.0,54.0,54.0,1.0
42.0,36.0,43.0,43.0,1.0
42.0,37.0,52.0,52.0,1.0
42.0,38.0,54.0,252.0,4.666666666666667
42.0,39.0,62.0,260.0,4.193548387096774
42.0,40.0,68.0,167.0,2.4558823529411766
42.0,41.0,75.0,75.0,1.0
42.0,42.0,59.0,59.0,1.0
42.0,43.0,48.0,147.0,3.0625
42.0,44.0,64.0,262.0,4.09375
42.0,45.0,70.0,268.0,3.8285714285714287
42.0,46.0,55.0,352.0,6.4
42.0,47.0,73.0,370.0,5.068493150684931
42.0,48.0,59.0,59.0,1.0
42.0,49.0,90.0,288.0,3.2
42.0,50.0,79.0,79.0,1.0
42.0,51.0,103.0,400.0,3.883495145631068
42.0,52.0,81.0,378.0,4.666666666666667
42.0,53.0,82.0,82.0,1.0
42.0,54.0,108.0,306.0,2.8333333333333335
42.0,55.0,120.0,120.0,1.0
42.0,56.0,120.0,417.0,3.475
42.0,57.0,137.0,236.0,1.7226277372262773
42.0,58.0,139.0,535.0,3.8489208633093526
42.0,59.0,128.0,326.0,2.546875
42.0,60.0,123.0,321.0,2.6097560975609757
42.0,61.0,129.0,624.0,4.837209302325581
42.0,62.0,155.0,263.0,1.696774193548387
42.0,63.0,136.0,631.0,4.639705882352941
42.0,64.0,137.0,632.0,4.613138686131387
42.0,65.0,118.0,514.0,4.3559322033898304
42.0,66.0,122.0,518.0,4.245901639344262
42.0,67.0,205.0,601.0,2.9317073170731707
42.0,68.0,155.0,650.0,4.193548387096774
42.0,69.0,135.0,333.0,2.466666666666667
42.0,70.0,137.0,533.0,3.8905109489051095
42.0,71.0,178.0,376.0,2.1123595505617976
42.0,72.0,140.0,338.0,2.414285714285714
42.0,73.0,196.0,493.0,2.5153061224489797
42.0,74.0,131.0,329.0,2.5114503816793894
42.0,75.0,142.0,538.0,3.788732394366197
42.0,76.0,143.0,539.0,3.769230769230769
42.0,77.0,110.0,209.0,1.9
42.0,78.0,107.0,305.0,2.850467289719626
42.0,79.0,94.0,589.0,6.26595744680851
42.0,80.0,110.0,506.0,4.6
42.0,81.0,109.0,505.0,4.63302752293578
42.0,82.0,111.0,210.0,1.8918918918918919
42.0,83.0,97.0,394.0,4.061855670103093
42.0,84.0,86.0,185.0,2.1511627906976742
42.0,85.0,76.0,76.0,1.0
42.0,86.0,81.0,279.0,3.4444444444444446
42.0,87.0,57.0,453.0,7.947368421052632
42.0,88.0,53.0,53.0,1.0
42.0,89.0,72.0,270.0,3.75
42.0,90.0,50.0,50.0,1.0
42.0,91.0,47.0,245.0,5.212765957446808
42.0,92.0,44.0,242.0,5.5
42.0,93.0,68.0,464.0,6.823529411764706
42.0,94.0,67.0,67.0,1.0
42.0,95.0,47.0,146.0,3.106382978723404
42.0,96.0,44.0,44.0,1.0
42.0,97.0,50.0,149.0,2.98
42.0,98.0,5.0,104.0,20.8
42.0,99.0,2.0,2.0,1.0
43.0,0.0,2.0,2.0,1.0
43.0,1.0,1.0,1.0,1.0
43,2,0,0,0
43.0,3.0,3.0,3.0,1.0
43.0,4.0,3.0,102.0,34.0
43.0,5.0,3.0,3.0,1.0
43.0,6.0,1.0,100.0,100.0
43.0,7.0,1.0,1.0,1.0
43.0,8.0,3.0,300.0,100.0
43,9,0,0,0
43.0,10.0,4.0,202.0,50.5
43.0,11.0,3.0,3.0,1.0
43.0,12.0,2.0,200.0,100.0
43.0,13.0,5.0,302.0,60.4
43.0,14.0,2.0,101.0,50.5
43.0,15.0,1.0,1.0,1.0
43.0,16.0,2.0,2.0,1.0
43.0,17.0,1.0,100.0,100.0
43.0,18.0,3.0,12.0,4.0
43.0,19.0,9.0,207.0,23.0
43.0,20.0,37.0,136.0,3.675675675675676
43.0,21.0,36.0,135.0,3.75
43.0,22.0,28.0,127.0,4.535714285714286
43.0,23.0,31.0,427.0,13.774193548387096
43.0,24.0,56.0,155.0,2.767857142857143
43.0,25.0,27.0,126.0,4.666666666666667
43.0,26.0,74.0,272.0,3.675675675675676
43.0,27.0,166.0,364.0,2.1927710843373496
43.0,28.0,230.0,230.0,1.0
43.0,29.0,144.0,243.0,1.6875
43.0,30.0,49.0,247.0,5.040816326530612
43.0,31.0,48.0,147.0,3.0625
43.0,32.0,48.0,246.0,5.125
43.0,33.0,44.0,44.0,1.0
43.0,34.0,27.0,126.0,4.666666666666667
43.0,35.0,47.0,47.0,1.0
43.0,36.0,50.0,248.0,4.96
43.0,37.0,54.0,252.0,4.666666666666667
43.0,38.0,84.0,183.0,2.1785714285714284
43.0,39.0,57.0,57.0,1.0
43.0,40.0,62.0,161.0,2.596774193548387
43.0,41.0,68.0,464.0,6.823529411764706
43.0,42.0,56.0,56.0,1.0
43.0,43.0,62.0,260.0,4.193548387096774
43.0,44.0,38.0,38.0,1.0
43.0,45.0,66.0,66.0,1.0
43.0,46.0,56.0,155.0,2.767857142857143
43.0,47.0,56.0,155.0,2.767857142857143
43.0,48.0,89.0,188.0,2.1123595505617976
43.0,49.0,79.0,376.0,4.7594936708860756
43.0,50.0,88.0,286.0,3.25
43.0,51.0,72.0,270.0,3.75
43.0,52.0,80.0,179.0,2.2375
43.0,53.0,62.0,458.0,7.387096774193548
43.0,54.0,103.0,598.0,5.805825242718447
43.0,55.0,96.0,492.0,5.125
43.0,56.0,78.0,375.0,4.8076923076923075
43.0,57.0,118.0,811.0,6.872881355932203
43.0,58.0,111.0,309.0,2.7837837837837838
43.0,59.0,122.0,815.0,6.680327868852459
43.0,60.0,119.0,515.0,4.3277310924369745
43.0,61.0,126.0,621.0,4.928571428571429
43.0,62.0,134.0,530.0,3.955223880597015
43.0,63.0,108.0,603.0,5.583333333333333
43.0,64.0,133.0,331.0,2.488721804511278
43.0,65.0,119.0,218.0,1.8319327731092436
43.0,66.0,150.0,447.0,2.98
43.0,67.0,158.0,158.0,1.0
43.0,68.0,159.0,753.0,4.735849056603773
43.0,69.0,127.0,721.0,5.677165354330708
43.0,70.0,143.0,440.0,3.076923076923077
43.0,71.0,178.0,574.0,3.2247191011235956
43.0,72.0,116.0,413.0,3.560344827586207
43.0,73.0,131.0,527.0,4.022900763358779
43.0,74.0,135.0,630.0,4.666666666666667
43.0,75.0,91.0,190.0,2.087912087912088
43.0,76.0,95.0,293.0,3.0842105263157893
43.0,77.0,123.0,321.0,2.6097560975609757
43.0,78.0,126.0,225.0,1.7857142857142858
43.0,79.0,90.0,189.0,2.1
43.0,80.0,117.0,414.0,3.5384615384615383
43.0,81.0,116.0,413.0,3.560344827586207
43.0,82.0,65.0,65.0,1.0
43.0,83.0,130.0,328.0,2.523076923076923
43.0,84.0,63.0,63.0,1.0
43.0,85.0,71.0,170.0,2.3943661971830985
43.0,86.0,72.0,171.0,2.375
43.0,87.0,48.0,246.0,5.125
43.0,88.0,58.0,157.0,2.706896551724138
43.0,89.0,39.0,336.0,8.615384615384615
43.0,90.0,43.0,142.0,3.302325581395349
43.0,91.0,72.0,369.0,5.125
43.0,92.0,48.0,147.0,3.0625
43.0,93.0,62.0,161.0,2.596774193548387
43.0,94.0,56.0,452.0,8.071428571428571
43.0,95.0,43.0,142.0,3.302325581395349
43.0,96.0,47.0,146.0,3.106382978723404
43.0,97.0,46.0,145.0,3.152173913043478
43.0,98.0,11.0,110.0,10.0
43,99,0,0,0
44,0,0,0,0
44,1,0,0,0
44.0,2.0,4.0,202.0,50.5
44.0,3.0,4.0,4.0,1.0
44.0,4.0,2.0,2.0,1.0
44.0,5.0,2.0,2.0,1.0
44.0,6.0,1.0,1.0,1.0
44.0,7.0,2.0,101.0,50.5
44,8,0,0,0
44.0,9.0,2.0,2.0,1.0
44.0,10.0,2.0,2.0,1.0
44.0,11.0,1.0,100.0,100.0
44.0,12.0,1.0,1.0,1.0
44.0,13.0,4.0,103.0,25.75
44.0,14.0,1.0,100.0,100.0
44.0,15.0,1.0,1.0,1.0
44.0,16.0,1.0,100.0,100.0
44.0,17.0,2.0,2.0,1.0
44.0,18.0,4.0,301.0,75.25
44.0,19.0,6.0,204.0,34.0
44.0,20.0,28.0,127.0,4.535714285714286
44.0,21.0,61.0,61.0,1.0
44.0,22.0,56.0,155.0,2.767857142857143
44.0,23.0,43.0,241.0,5.604651162790698
44.0,24.0,41.0,239.0,5.829268292682927
44.0,25.0,37.0,136.0,3.675675675675676
44.0,26.0,64.0,163.0,2.546875
44.0,27.0,165.0,165.0,1.0
44.0,28.0,155.0,650.0,4.193548387096774
44.0,29.0,83.0,281.0,3.3855421686746987
44.0,30.0,60.0,60.0,1.0
44.0,31.0,57.0,156.0,2.736842105263158
44.0,32.0,54.0,252.0,4.666666666666667
44.0,33.0,49.0,148.0,3.020408163265306
44.0,34.0,36.0,135.0,3.75
44.0,35.0,54.0,153.0,2.8333333333333335
44.0,36.0,83.0,479.0,5.771084337349397
44.0,37.0,74.0,173.0,2.3378378378378377
44.0,38.0,88.0,88.0,1.0
44.0,39.0,63.0,360.0,5.714285714285714
44.0,40.0,80.0,179.0,2.2375
44.0,41.0,88.0,385.0,4.375
44.0,42.0,45.0,144.0,3.2
44.0,43.0,43.0,142.0,3.302325581395349
44.0,44.0,60.0,258.0,4.3
44.0,45.0,65.0,164.0,2.523076923076923
44.0,46.0,73.0,271.0,3.712328767123288
44.0,47.0,67.0,67.0,1.0
44.0,48.0,76.0,175.0,2.3026315789473686
44.0,49.0,80.0,80.0,1.0
44.0,50.0,64.0,163.0,2.546875
44.0,51.0,81.0,279.0,3.4444444444444446
44.0,52.0,95.0,392.0,4.126315789473685
44.0,53.0,112.0,310.0,2.767857142857143
44.0,54.0,116.0,314.0,2.706896551724138
44.0,55.0,135.0,729.0,5.4
44.0,56.0,116.0,215.0,1.853448275862069
44.0,57.0,119.0,317.0,2.6638655462184873
44.0,58.0,112.0,310.0,2.767857142857143
44.0,59.0,147.0,345.0,2.3469387755102042
44.0,60.0,140.0,446.0,3.1857142857142855
44.0,61.0,134.0,440.0,3.283582089552239
44.0,62.0,127.0,325.0,2.559055118110236
44.0,63.0,163.0,262.0,1.607361963190184
44.0,64.0,149.0,446.0,2.9932885906040267
44.0,65.0,161.0,656.0,4.074534161490683
44.0,66.0,184.0,481.0,2.614130434782609
44.0,67.0,187.0,583.0,3.1176470588235294
44.0,68.0,159.0,258.0,1.6226415094339623
44.0,69.0,155.0,848.0,5.470967741935484
44.0,70.0,127.0,820.0,6.456692913385827
44.0,71.0,175.0,571.0,3.262857142857143
44.0,72.0,117.0,414.0,3.5384615384615383
44.0,73.0,210.0,507.0,2.414285714285714
44.0,74.0,135.0,432.0,3.2
44.0,75.0,132.0,825.0,6.25
44.0,76.0,125.0,125.0,1.0
44.0,77.0,88.0,682.0,7.75
44.0,78.0,132.0,231.0,1.75
44.0,79.0,112.0,211.0,1.8839285714285714
44.0,80.0,110.0,308.0,2.8
44.0,81.0,115.0,412.0,3.582608695652174
44.0,82.0,108.0,306.0,2.8333333333333335
44.0,83.0,63.0,360.0,5.714285714285714
44.0,84.0,71.0,269.0,3.788732394366197
44.0,85.0,59.0,158.0,2.6779661016949152
44.0,86.0,85.0,85.0,1.0
44.0,87.0,70.0,268.0,3.8285714285714287
44.0,88.0,72.0,72.0,1.0
44.0,89.0,85.0,184.0,2.164705882352941
44.0,90.0,49.0,148.0,3.020408163265306
44.0,91.0,58.0,157.0,2.706896551724138
44.0,92.0,54.0,252.0,4.666666666666667
44.0,93.0,44.0,44.0,1.0
44.0,94.0,47.0,47.0,1.0
44.0,95.0,43.0,142.0,3.302325581395349
44.0,96.0,52.0,151.0,2.9038461538461537
44.0,97.0,32.0,140.0,4.375
44.0,98.0,15.0,213.0,14.2
44.0,99.0,3.0,300.0,100.0
45,0,0,0,0
45.0,1.0,1.0,1.0,1.0
45.0,2.0,1.0,1.0,1.0
45.0,3.0,1.0,1.0,1.0
45.0,4.0,1.0,1.0,1.0
45.0,5.0,2.0,2.0,1.0
45.0,6.0,1.0,100.0,100.0
45.0,7.0,2.0,2.0,1.0
45,8,0,0,0
45.0,9.0,2.0,101.0,50.5
45.0,10.0,1.0,1.0,1.0
45,11,0,0,0
45.0,12.0,6.0,6.0,1.0
45,13,0,0,0
45,14,0,0,0
45,15,0,0,0
45.0,16.0,2.0,2.0,1.0
45,17,0,0,0
45.0,18.0,2.0,2.0,1.0
45.0,19.0,9.0,108.0,12.0
45.0,20.0,34.0,331.0,9.735294117647058
45.0,21.0,68.0,167.0,2.4558823529411766
45.0,22.0,45.0,45.0,1.0
45.0,23.0,38.0,38.0,1.0
45.0,24.0,39.0,39.0,1.0
45.0,25.0,63.0,261.0,4.142857142857143
45.0,26.0,35.0,35.0,1.0
45.0,27.0,107.0,107.0,1.0
45.0,28.0,124.0,124.0,1.0
45.0,29.0,102.0,102.0,1.0
45.0,30.0,41.0,41.0,1.0
45.0,31.0,27.0,27.0,1.0
45.0,32.0,61.0,358.0,5.868852459016393
45.0,33.0,43.0,142.0,3.302325581395349
45.0,34.0,44.0,143.0,3.25
45.0,35.0,58.0,58.0,1.0
45.0,36.0,55.0,253.0,4.6
45.0,37.0,63.0,63.0,1.0
45.0,38.0,68.0,68.0,1.0
45.0,39.0,41.0,239.0,5.829268292682927
45.0,40.0,59.0,158.0,2.6779661016949152
45.0,41.0,47.0,146.0,3.106382978723404
45.0,42.0,45.0,243.0,5.4
45.0,43.0,61.0,259.0,4.245901639344262
45.0,44.0,61.0,160.0,2.622950819672131
45.0,45.0,73.0,271.0,3.712328767123288
45.0,46.0,85.0,481.0,5.658823529411765
45.0,47.0,72.0,171.0,2.375
45.0,48.0,102.0,102.0,1.0
45.0,49.0,88.0,187.0,2.125
45.0,50.0,65.0,461.0,7.092307692307692
45.0,51.0,58.0,256.0,4.413793103448276
45.0,52.0,87.0,384.0,4.413793103448276
45.0,53.0,113.0,410.0,3.6283185840707963
45.0,54.0,118.0,118.0,1.0
45.0,55.0,106.0,403.0,3.80188679245283
45.0,56.0,111.0,309.0,2.7837837837837838
45.0,57.0,101.0,209.0,2.0693069306930694
45.0,58.0,123.0,420.0,3.4146341463414633
45.0,59.0,100.0,397.0,3.97
45.0,60.0,123.0,420.0,3.4146341463414633
45.0,61.0,118.0,514.0,4.3559322033898304
45.0,62.0,160.0,457.0,2.85625
45.0,63.0,132.0,528.0,4.0
45.0,64.0,137.0,632.0,4.613138686131387
45.0,65.0,108.0,504.0,4.666666666666667
45.0,66.0,149.0,455.0,3.053691275167785
45.0,67.0,196.0,592.0,3.020408163265306
45.0,68.0,134.0,827.0,6.1716417910447765
45.0,69.0,121.0,616.0,5.090909090909091
45.0,70.0,126.0,720.0,5.714285714285714
45.0,71.0,131.0,329.0,2.5114503816793894
45.0,72.0,135.0,729.0,5.4
45.0,73.0,187.0,385.0,2.0588235294117645
45.0,74.0,149.0,446.0,2.9932885906040267
45.0,75.0,105.0,105.0,1.0
45.0,76.0,139.0,436.0,3.1366906474820144
45.0,77.0,112.0,508.0,4.535714285714286
45.0,78.0,115.0,511.0,4.443478260869565
45.0,79.0,141.0,537.0,3.8085106382978724
45.0,80.0,91.0,190.0,2.087912087912088
45.0,81.0,73.0,469.0,6.424657534246576
45.0,82.0,85.0,283.0,3.3294117647058825
45.0,83.0,106.0,205.0,1.9339622641509433
45.0,84.0,79.0,574.0,7.265822784810126
45.0,85.0,76.0,76.0,1.0
45.0,86.0,78.0,375.0,4.8076923076923075
45.0,87.0,63.0,162.0,2.5714285714285716
45.0,88.0,67.0,166.0,2.4776119402985075
45.0,89.0,53.0,152.0,2.8679245283018866
45.0,90.0,41.0,140.0,3.4146341463414633
45.0,91.0,70.0,169.0,2.414285714285714
45.0,92.0,69.0,168.0,2.4347826086956523
45.0,93.0,41.0,239.0,5.829268292682927
45.0,94.0,45.0,144.0,3.2
45.0,95.0,30.0,129.0,4.3
45.0,96.0,43.0,43.0,1.0
45.0,97.0,41.0,140.0,3.4146341463414633
45.0,98.0,9.0,9.0,1.0
45.0,99.0,1.0,1.0,1.0
46.0,0.0,1.0,1.0,1.0
46.0,1.0,1.0,1.0,1.0
46,2,0,0,0
46,3,0,0,0
46.0,4.0,4.0,103.0,25.75
46,5,0,0,0
46.0,6.0,1.0,1.0,1.0
46,7,0,0,0
46.0,8.0,1.0,100.0,100.0
46,9,0,0,0
46.0,10.0,2.0,101.0,50.5
46.0,11.0,1.0,100.0,100.0
46.0,12.0,3.0,3.0,1.0
46,13,0,0,0
46.0,14.0,1.0,100.0,100.0
46,15,0,0,0
46.0,16.0,3.0,3.0,1.0
46.0,17.0,2.0,2.0,1.0
46.0,18.0,1.0,1.0,1.0
46.0,19.0,4.0,4.0,1.0
46.0,20.0,24.0,24.0,1.0
46.0,21.0,77.0,77.0,1.0
46.0,22.0,45.0,45.0,1.0
46.0,23.0,30.0,129.0,4.3
46.0,24.0,36.0,135.0,3.75
46.0,25.0,66.0,264.0,4.0
46.0,26.0,56.0,56.0,1.0
46.0,27.0,78.0,177.0,2.269230769230769
46.0,28.0,45.0,45.0,1.0
46.0,29.0,65.0,65.0,1.0
46.0,30.0,85.0,391.0,4.6
46.0,31.0,56.0,56.0,1.0
46.0,32.0,53.0,53.0,1.0
46.0,33.0,31.0,31.0,1.0
46.0,34.0,56.0,353.0,6.303571428571429
46.0,35.0,44.0,44.0,1.0
46.0,36.0,44.0,143.0,3.25
46.0,37.0,98.0,197.0,2.010204081632653
46.0,38.0,71.0,71.0,1.0
46.0,39.0,64.0,64.0,1.0
46.0,40.0,49.0,247.0,5.040816326530612
46.0,41.0,64.0,163.0,2.546875
46.0,42.0,58.0,157.0,2.706896551724138
46.0,43.0,41.0,140.0,3.4146341463414633
46.0,44.0,55.0,55.0,1.0
46.0,45.0,75.0,174.0,2.32
46.0,46.0,96.0,96.0,1.0
46.0,47.0,65.0,164.0,2.523076923076923
46.0,48.0,76.0,373.0,4.907894736842105
46.0,49.0,92.0,290.0,3.152173913043478
46.0,50.0,105.0,303.0,2.8857142857142857
46.0,51.0,68.0,68.0,1.0
46.0,52.0,101.0,200.0,1.9801980198019802
46.0,53.0,108.0,207.0,1.9166666666666667
46.0,54.0,122.0,221.0,1.8114754098360655
46.0,55.0,114.0,609.0,5.342105263157895
46.0,56.0,129.0,426.0,3.302325581395349
46.0,57.0,123.0,321.0,2.6097560975609757
46.0,58.0,138.0,435.0,3.152173913043478
46.0,59.0,152.0,359.0,2.361842105263158
46.0,60.0,157.0,553.0,3.522292993630573
46.0,61.0,143.0,440.0,3.076923076923077
46.0,62.0,170.0,665.0,3.911764705882353
46.0,63.0,139.0,544.0,3.9136690647482015
46.0,64.0,135.0,531.0,3.933333333333333
46.0,65.0,145.0,640.0,4.413793103448276
46.0,66.0,161.0,1250.0,7.763975155279503
46.0,67.0,137.0,632.0,4.613138686131387
46.0,68.0,82.0,1171.0,14.28048780487805
46.0,69.0,139.0,337.0,2.4244604316546763
46.0,70.0,142.0,340.0,2.3943661971830985
46.0,71.0,142.0,241.0,1.6971830985915493
46.0,72.0,106.0,304.0,2.8679245283018866
46.0,73.0,126.0,522.0,4.142857142857143
46.0,74.0,160.0,358.0,2.2375
46.0,75.0,144.0,639.0,4.4375
46.0,76.0,119.0,416.0,3.495798319327731
46.0,77.0,100.0,199.0,1.99
46.0,78.0,110.0,209.0,1.9
46.0,79.0,87.0,483.0,5.551724137931035
46.0,80.0,98.0,98.0,1.0
46.0,81.0,89.0,584.0,6.561797752808989
46.0,82.0,95.0,392.0,4.126315789473685
46.0,83.0,81.0,180.0,2.2222222222222223
46.0,84.0,89.0,89.0,1.0
46.0,85.0,86.0,284.0,3.302325581395349
46.0,86.0,61.0,160.0,2.622950819672131
46.0,87.0,54.0,54.0,1.0
46.0,88.0,66.0,165.0,2.5
46.0,89.0,72.0,369.0,5.125
46.0,90.0,62.0,161.0,2.596774193548387
46.0,91.0,88.0,385.0,4.375
46.0,92.0,52.0,151.0,2.9038461538461537
46.0,93.0,56.0,353.0,6.303571428571429
46.0,94.0,50.0,149.0,2.98
46.0,95.0,82.0,280.0,3.4146341463414633
46.0,96.0,46.0,145.0,3.152173913043478
46.0,97.0,30.0,30.0,1.0
46.0,98.0,12.0,309.0,25.75
46.0,99.0,2.0,2.0,1.0
47,0,0,0,0
47.0,1.0,1.0,1.0,1.0
47.0,2.0,1.0,1.0,1.0
47.0,3.0,3.0,3.0,1.0
47,4,0,0,0
47.0,5.0,1.0,1.0,1.0
47.0,6.0,1.0,1.0,1.0
47,7,0,0,0
47.0,8.0,1.0,100.0,100.0
47,9,0,0,0
47.0,10.0,1.0,1.0,1.0
47,11,0,0,0
47.0,12.0,3.0,3.0,1.0
47,13,0,0,0
47.0,14.0,1.0,1.0,1.0
47.0,15.0,1.0,100.0,100.0
47.0,16.0,1.0,1.0,1.0
47.0,17.0,2.0,101.0,50.5
47.0,18.0,4.0,4.0,1.0
47.0,19.0,9.0,108.0,12.0
47.0,20.0,49.0,49.0,1.0
47.0,21.0,58.0,157.0,2.706896551724138
47.0,22.0,32.0,131.0,4.09375
47.0,23.0,49.0,544.0,11.10204081632653
47.0,24.0,60.0,159.0,2.65
47.0,25.0,98.0,98.0,1.0
47.0,26.0,29.0,128.0,4.413793103448276
47.0,27.0,30.0,129.0,4.3
47.0,28.0,4.0,301.0,75.25
47.0,29.0,65.0,164.0,2.523076923076923
47.0,30.0,72.0,171.0,2.375
47.0,31.0,49.0,49.0,1.0
47.0,32.0,48.0,147.0,3.0625
47.0,33.0,64.0,262.0,4.09375
47.0,34.0,46.0,46.0,1.0
47.0,35.0,63.0,162.0,2.5714285714285716
47.0,36.0,66.0,165.0,2.5
47.0,37.0,68.0,68.0,1.0
47.0,38.0,73.0,73.0,1.0
47.0,39.0,68.0,68.0,1.0
47.0,40.0,73.0,271.0,3.712328767123288
47.0,41.0,68.0,266.0,3.911764705882353
47.0,42.0,66.0,66.0,1.0
47.0,43.0,42.0,42.0,1.0
47.0,44.0,64.0,262.0,4.09375
47.0,45.0,66.0,165.0,2.5
47.0,46.0,52.0,250.0,4.8076923076923075
47.0,47.0,86.0,86.0,1.0
47.0,48.0,93.0,291.0,3.129032258064516
47.0,49.0,100.0,199.0,1.99
47.0,50.0,108.0,306.0,2.8333333333333335
47.0,51.0,114.0,114.0,1.0
47.0,52.0,108.0,306.0,2.8333333333333335
47.0,53.0,97.0,394.0,4.061855670103093
47.0,54.0,124.0,124.0,1.0
47.0,55.0,109.0,505.0,4.63302752293578
47.0,56.0,99.0,198.0,2.0
47.0,57.0,110.0,209.0,1.9
47.0,58.0,141.0,141.0,1.0
47.0,59.0,157.0,652.0,4.1528662420382165
47.0,60.0,158.0,356.0,2.2531645569620253
47.0,61.0,194.0,689.0,3.551546391752577
47.0,62.0,189.0,495.0,2.619047619047619
47.0,63.0,134.0,530.0,3.955223880597015
47.0,64.0,143.0,539.0,3.769230769230769
47.0,65.0,115.0,412.0,3.582608695652174
47.0,66.0,160.0,259.0,1.61875
47.0,67.0,174.0,570.0,3.2758620689655173
47.0,68.0,103.0,994.0,9.650485436893204
47.0,69.0,156.0,750.0,4.8076923076923075
47.0,70.0,132.0,330.0,2.5
47.0,71.0,134.0,629.0,4.6940298507462686
47.0,72.0,129.0,228.0,1.7674418604651163
47.0,73.0,122.0,815.0,6.680327868852459
47.0,74.0,157.0,652.0,4.1528662420382165
